Date,WIKI/MMM - Adj. Close,WIKI/ABT - Adj. Close,WIKI/ABBV - Adj. Close,WIKI/ACN - Adj. Close,WIKI/ATVI - Adj. Close,WIKI/AYI - Adj. Close,WIKI/ADBE - Adj. Close,WIKI/AAP - Adj. Close,WIKI/AES - Adj. Close,WIKI/AET - Adj. Close,WIKI/AMG - Adj. Close,WIKI/AFL - Adj. Close,WIKI/A - Adj. Close,WIKI/APD - Adj. Close,WIKI/AKAM - Adj. Close,WIKI/ALK - Adj. Close,WIKI/ALB - Adj. Close,WIKI/ALXN - Adj. Close,WIKI/ALLE - Adj. Close,WIKI/AGN - Adj. Close,WIKI/ADS - Adj. Close,WIKI/LNT - Adj. Close,WIKI/ALL - Adj. Close,WIKI/GOOGL - Adj. Close,WIKI/GOOG - Adj. Close,WIKI/MO - Adj. Close,WIKI/AMZN - Adj. Close,WIKI/AEE - Adj. Close,WIKI/AAL - Adj. Close,WIKI/AEP - Adj. Close,WIKI/AXP - Adj. Close,WIKI/AIG - Adj. Close,WIKI/AMT - Adj. Close,WIKI/AWK - Adj. Close,WIKI/AMP - Adj. Close,WIKI/ABC - Adj. Close,WIKI/AME - Adj. Close,WIKI/AMGN - Adj. Close,WIKI/APH - Adj. Close,WIKI/APC - Adj. Close,WIKI/ADI - Adj. Close,WIKI/ANTM - Adj. Close,WIKI/AON - Adj. Close,WIKI/APA - Adj. Close,WIKI/AIV - Adj. Close,WIKI/AAPL - Adj. Close,WIKI/AMAT - Adj. Close,WIKI/ADM - Adj. Close,WIKI/ARNC - Adj. Close,WIKI/AJG - Adj. Close,WIKI/AIZ - Adj. Close,WIKI/T - Adj. Close,WIKI/ADSK - Adj. Close,WIKI/ADP - Adj. Close,WIKI/AN - Adj. Close,WIKI/AZO - Adj. Close,WIKI/AVB - Adj. Close,WIKI/AVY - Adj. Close,WIKI/BHI - Adj. Close,WIKI/BLL - Adj. Close,WIKI/BAC - Adj. Close,WIKI/BCR - Adj. Close,WIKI/BAX - Adj. Close,WIKI/BBT - Adj. Close,WIKI/BDX - Adj. Close,WIKI/BBBY - Adj. Close,WIKI/BRK_B - Adj. Close,WIKI/BBY - Adj. Close,WIKI/BIIB - Adj. Close,WIKI/BLK - Adj. Close,WIKI/HRB - Adj. Close,WIKI/BA - Adj. Close,WIKI/BWA - Adj. Close,WIKI/BXP - Adj. Close,WIKI/BSX - Adj. Close,WIKI/BMY - Adj. Close,WIKI/AVGO - Adj. Close,WIKI/BF_B - Adj. Close,WIKI/CHRW - Adj. Close,WIKI/CA - Adj. Close
2018-01-29,,63.31,122.31,161.19,72.45,163.58,198.23,122.89,11.81,193.74,209.21,89.55,74.53,166.67,67.25,65.48,111.68,126.79,86.68,187.3,256.51,39.61,98.04,1186.48,1175.58,69.83,1417.68,55.88,52.68,67.9,99.41,64.26,144.33,83.74,177.45,105.09,77.49,198.0,92.13,60.96,93.78,257.02,142.34,46.65,41.45,167.96,55.33,43.11,30.26,69.77,94.35,37.26,116.38,120.76,,786.71,168.25,118.67,,37.63,32.28,,72.05,55.39,244.93,,215.46,76.59,358.48,574.42,26.83,340.82,56.82,121.34,28.33,64.43,245.47,68.56,96.31,35.64
2018-01-30,,62.44,115.88,159.7,71.61,158.34,196.9,119.27,11.61,187.89,203.22,88.57,72.99,168.3,66.56,64.2,111.37,122.36,85.44,184.38,254.59,39.26,98.45,1177.37,1163.69,69.82,1437.82,56.09,52.59,68.35,98.71,63.35,145.15,83.11,172.01,102.46,76.55,191.27,92.55,59.75,91.55,243.44,141.75,44.57,40.95,166.97,53.38,42.48,29.92,69.33,92.11,37.44,114.99,120.81,,776.67,166.87,117.33,,37.57,31.88,,71.75,55.03,243.5,,214.41,76.29,352.59,562.29,26.44,337.71,56.72,119.42,28.03,63.96,240.98,68.65,94.93,35.55
2018-01-31,,62.16,112.22,160.7,74.13,154.44,199.76,116.99,11.56,186.82,199.63,88.2,73.43,168.37,66.99,65.73,111.59,119.32,86.11,180.26,256.66,39.75,98.77,1182.22,1169.94,70.34,1451.65,56.63,54.32,68.78,99.4,63.92,147.7,83.17,168.7,99.67,76.3,186.05,92.77,60.05,91.89,247.85,142.17,44.87,41.84,167.43,53.63,42.95,30.06,68.32,91.48,37.45,115.62,123.63,,765.44,170.4,122.68,,38.28,32.0,,72.03,55.19,242.94,,214.38,73.06,347.76,561.8,26.54,354.37,56.26,123.71,27.96,62.6,248.03,69.3,91.46,35.85
2018-02-01,,62.18,116.34,160.46,73.35,153.66,199.38,117.29,11.51,187.39,201.76,89.69,72.83,166.79,67.56,64.08,109.2,118.09,85.17,178.54,257.11,39.08,98.72,1181.59,1167.7,69.93,1390.0,55.21,53.88,67.84,100.0,64.17,147.06,81.84,171.08,99.29,77.91,185.56,92.82,61.37,91.65,243.93,144.48,44.69,40.8,167.78,53.28,42.46,30.11,69.19,93.06,39.16,115.57,120.42,,764.38,164.11,120.36,,38.35,32.5,,69.95,55.7,241.52,,217.25,73.1,346.0,565.19,26.15,356.94,56.39,119.19,27.63,62.8,238.79,68.78,91.93,35.38
2018-02-02,,61.69,115.17,156.9,71.42,149.95,195.64,113.93,11.12,185.0,197.11,88.95,71.25,162.84,65.72,64.56,105.51,116.15,81.85,172.51,249.91,38.91,97.94,1119.2,1111.9,69.4,1431.0,54.89,52.1,67.75,96.68,63.04,145.22,81.22,167.5,96.02,77.25,187.01,91.25,59.11,89.11,239.18,143.59,42.82,40.55,160.37,50.68,41.43,29.11,68.57,91.95,38.07,111.64,118.57,,750.58,163.96,117.63,,37.46,31.95,,68.55,55.11,237.11,,209.12,71.24,343.83,548.32,25.46,348.91,54.47,119.34,27.39,63.48,235.48,67.0,91.79,34.975
2018-02-05,,58.73,109.51,151.83,68.4,145.22,191.79,109.86,10.6,180.95,188.5,86.21,68.22,156.33,63.33,62.74,105.15,113.3,79.11,165.0,238.78,38.22,95.02,1068.76,1064.35,66.04,1396.62,54.15,49.97,66.48,92.01,60.63,142.04,78.82,160.39,91.9,73.9,175.01,88.41,56.85,85.91,230.45,140.34,40.93,39.67,157.49,48.635,40.6,26.52,66.27,88.18,36.63,109.84,114.73,,731.59,159.02,113.81,,36.51,30.26,,65.52,52.89,224.82,,196.8,68.02,330.25,524.97,24.47,328.88,52.35,114.74,26.4,60.96,230.05,64.64,90.61,33.735
2018-02-06,,58.86,111.2,154.69,69.7,148.91,194.47,112.2,10.58,182.01,190.7,85.62,68.45,160.22,63.67,63.19,107.54,114.91,80.11,168.33,241.47,37.51,96.6,1084.43,1080.6,66.53,1442.84,53.0,51.18,64.91,94.18,60.26,140.17,78.96,160.56,91.54,74.71,176.65,88.56,57.49,88.54,234.83,139.92,41.12,39.62,163.03,50.25,42.0,25.28,65.4,88.49,36.83,112.62,112.95,,745.07,160.25,114.24,,36.93,31.2,,66.67,53.71,227.52,,201.24,70.3,332.86,535.22,25.17,340.91,54.16,115.32,26.72,60.9,240.38,65.01,90.77,33.7
2018-02-07,,58.67,113.62,155.15,69.46,148.07,192.34,109.93,10.48,181.49,187.87,85.6,68.06,158.21,64.48,64.23,106.63,117.15,79.96,170.39,246.75,37.5,96.87,1055.41,1048.58,66.79,1416.78,53.19,51.4,64.45,93.61,60.47,140.0,77.96,160.11,94.22,74.16,177.47,88.28,58.72,85.35,238.44,140.55,39.55,39.21,159.54,48.69,42.19,25.1,66.11,88.49,36.93,110.54,113.56,,728.33,158.28,114.78,,39.33,31.25,,65.55,53.82,221.92,,200.37,71.26,326.89,532.26,25.74,348.12,55.0,115.34,26.32,62.63,237.38,65.08,92.57,34.0
2018-02-08,,56.27,108.48,150.51,65.83,145.41,185.15,109.63,10.06,178.0,179.11,83.25,65.05,152.8,62.46,64.04,105.18,108.5,77.32,164.2,240.6,37.14,90.06,1005.6,1001.0,64.05,1350.47,52.59,48.65,63.38,88.34,58.28,133.57,76.06,152.5,91.55,72.05,173.17,84.44,56.2,82.66,230.57,136.05,37.73,38.21,155.32,45.75,41.35,24.45,64.4,85.16,35.57,104.88,108.19,,718.57,154.94,110.77,,38.44,29.74,,62.56,51.07,211.44,,191.42,68.79,311.63,509.38,25.19,329.66,51.94,112.09,25.2,62.69,229.53,63.33,90.49,32.64
2018-02-09,,57.17,111.3,153.84,66.78,147.05,187.77,109.14,10.2,176.39,180.24,84.77,66.98,158.09,64.14,64.72,107.72,108.38,78.49,162.77,240.67,38.42,90.89,1043.43,1035.88,64.03,1338.99,55.42,48.32,64.72,91.72,60.22,136.05,77.94,153.88,89.19,72.3,173.15,84.78,56.13,83.86,231.71,137.91,37.23,39.34,155.97,47.99,41.49,24.66,64.94,88.01,36.05,105.94,111.34,,723.5,159.61,111.46,,37.87,30.33,,64.31,52.42,217.14,,196.02,70.76,316.36,521.51,24.92,332.83,52.61,115.35,25.92,62.7,235.28,65.37,89.31,33.44
